,주문자ID,17년1분기,17년2분기,17년3분기,17년4분기,18년1분기,18년2분기,18년3분기,18년4분기,19년1분기,19년2분기
204,152269897@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0
205,152541790@n,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
206,15404226@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
207,15450330@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
208,15464291@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
209,154702787@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210,155273889@n,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
211,155452391@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
212,15586823@n,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0
213,1559740@n,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
214,156257887@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
215,156563101@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
216,15781174@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
217,158123364@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
218,158316672@n,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
219,158430199@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
220,15890626@n,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
221,159146639@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
222,16066873@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
223,16103428@n,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,2.0
