주문자ID,17년1분기,17년2분기,17년3분기,17년4분기,18년1분기,18년2분기,18년3분기,18년4분기,19년1분기,19년2분기
135014997@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126140.0
135243092@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51810.0,0.0
13532597@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449390.0,61470.0,67650.0
135337305@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,0.0
13575577@n,0.0,0.0,0.0,0.0,0.0,0.0,183050.0,0.0,0.0,0.0
136149570@n,0.0,0.0,0.0,0.0,0.0,0.0,259280.0,0.0,0.0,0.0
13643473@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57850.0
137197918@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148100.0
138435303@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131670.0,0.0
138511981@n,0.0,0.0,0.0,0.0,0.0,0.0,883910.0,877470.0,595390.0,234010.0
138741549@n,0.0,0.0,0.0,0.0,0.0,637635.0,0.0,0.0,0.0,0.0
140050498@n,0.0,0.0,0.0,0.0,0.0,35900.0,0.0,0.0,0.0,0.0
141015665@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61900.0
141041106@n,0.0,0.0,0.0,0.0,0.0,0.0,55110.0,0.0,0.0,0.0
1411590@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452760.0,184400.0,63070.0
141523440@n,0.0,0.0,0.0,53900.0,0.0,0.0,0.0,0.0,0.0,0.0
141658082@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464530.0,63070.0
141870846@n,0.0,0.0,0.0,0.0,126100.0,0.0,0.0,0.0,0.0,0.0
14240808@n,0.0,0.0,0.0,0.0,0.0,45910.0,0.0,0.0,0.0,0.0
142432057@n,0.0,0.0,0.0,0.0,209000.0,0.0,917610.0,249820.0,764900.0,0.0
142524087@n,0.0,0.0,0.0,0.0,0.0,0.0,115800.0,0.0,0.0,0.0
14256488@n,0.0,0.0,0.0,0.0,0.0,698100.0,1087220.0,494460.0,295640.0,139610.0
14295788@n,0.0,0.0,0.0,250470.0,957240.0,218300.0,299690.0,694490.0,742010.0,702020.0
144151978@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121290.0,0.0
144459612@n,0.0,70120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144837068@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119750.0
14508436@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68970.0,0.0
145104924@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55870.0
145327106@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81310.0
14632589@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81600.0,0.0
14671857@n,0.0,0.0,0.0,0.0,0.0,925930.0,785140.0,310540.0,63070.0,439890.0
146783527@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131450.0,121490.0
14694906@n,0.0,0.0,0.0,0.0,0.0,604900.0,2117470.0,3495285.0,1325920.0,1071680.0
