,Unnamed: 0,Unnamed: 0.1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기
817,817,820,패커스,과세,0,115500,쿠킹호일 50개 1박스,1024,사용함,자체제작,"046 : 주방용품/소모품
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13
046010 : 주방용품/소모품 > 주방잡화
046010003 : 주방용품/소모품 > 주방잡화 > 기타",소모품 주방용품 주방잡화,주방용품,150000,정상,0
818,818,821,다이찌롱스토어,과세,0,10780,고무장갑-중 (10켤레),1017,사용함,자체제작,"046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010003 : 주방용품/소모품 > 주방잡화 > 기타",소모품 주방용품 주방잡화,주방용품,18600,정상,0
850,850,853,패커스,과세,0,69300,쿠킹호일 30개 1박스,799,사용함,자체제작,"046 : 주방용품/소모품
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13
046010 : 주방용품/소모품 > 주방잡화
046010003 : 주방용품/소모품 > 주방잡화 > 기타",소모품 주방용품 주방잡화,주방용품,82500,정상,0
873,873,876,다이찌롱스토어,과세,0,1600,위생 장갑 100매 2개,589,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009003 : 주방용품/소모품 > 일회용품 > 비닐장갑",비닐장갑 소모품 주방용품 일회용품,주방용품,6400,정상,0
874,874,877,다이찌롱스토어,과세,0,1600,위생 장갑 50매 10개,585,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009003 : 주방용품/소모품 > 일회용품 > 비닐장갑",비닐장갑 소모품 주방용품 일회용품,주방용품,16500,정상,0
894,894,897,패커스,과세,4,48400,"PS 65mm 랩칼 백색,빨강 8,000개 1박스",483,사용함,자체제작,"046 : 주방용품/소모품
015 : 실링필름/랩칼
015003 : 실링필름/랩칼 > 랩칼
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",소모품 랩칼 실링필름 일회용품 나이프 주방용품 포크 스푼,주방용품,77000,정상,0
895,895,898,패커스,과세,2,33000,"160mm 스포키 검정 1,500개 1박스",482,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,45450,정상,0
912,912,915,다이찌롱스토어,과세,0,29040,업소용도마 특7호,424,사용함,자체제작,"046 : 주방용품/소모품
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13
046007 : 주방용품/소모품 > 주방용품
046007001 : 주방용품/소모품 > 주방용품 > 도마",도마 소모품 주방용품,주방용품,32000,정상,0
913,913,916,다이찌롱스토어,과세,0,63140,업소용도마 특대,423,사용함,자체제작,"046 : 주방용품/소모품
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13
046007 : 주방용품/소모품 > 주방용품
046007001 : 주방용품/소모품 > 주방용품 > 도마",도마 소모품 주방용품,주방용품,68000,정상,2
914,914,917,다이찌롱스토어,과세,0,33440,업소용도마 특6호,422,사용함,자체제작,"046 : 주방용품/소모품
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13
046007 : 주방용품/소모품 > 주방용품
046007001 : 주방용품/소모품 > 주방용품 > 도마",도마 소모품 주방용품,주방용품,35000,정상,0
