,Unnamed: 0,Unnamed: 0.1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기
316,316,317,패커스,과세,0,78000,M&F 몬 스위트 칠리 소스 5L 4통 (박스 상품),1832,사용안함,M&F,"050 : 식자재
026 : NEW
026010 : NEW > 식자재
050007 : 식자재 > 태국/베트남 식자재
050007002 : 식자재 > 태국/베트남 식자재 > 소스류
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005002 : NEW > 식자재 > 태국/베트남 식자재 > 소스류
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",베트남 식자재 소스류 태국,식자재,92600,정상,0
317,317,318,패커스,과세,0,135920,M&F 수리 블랙빈 소스 5L 4통 (박스 상품),1831,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
050007002 : 식자재 > 태국/베트남 식자재 > 소스류
026010005002 : NEW > 식자재 > 태국/베트남 식자재 > 소스류",베트남 식자재 소스류 태국,식자재,153300,정상,0
318,318,319,패커스,과세,0,76470,M&F 하이몬 쌀국수 장국 4.5L 3통 (박스 상품),1830,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007006 : 식자재 > 태국/베트남 식자재 > 장류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005006 : NEW > 식자재 > 태국/베트남 식자재 > 장류
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",베트남 식자재 장류 태국,식자재,87500,정상,0
319,319,320,패커스,과세,0,123160,M&F 수리 타이 쓰리라차 칠리 소스 5L 4통 (박스 상품),1829,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
050007002 : 식자재 > 태국/베트남 식자재 > 소스류
026010005002 : NEW > 식자재 > 태국/베트남 식자재 > 소스류",베트남 식자재 소스류 태국,식자재,133400,정상,0
320,320,321,패커스,과세,0,55230,M&F 스퀴드 브랜드 피쉬액젓 4500ml 3통 (박스 상품),1828,사용안함,M&F,"050 : 식자재
026 : NEW
026010 : NEW > 식자재
050007 : 식자재 > 태국/베트남 식자재
050007002 : 식자재 > 태국/베트남 식자재 > 소스류
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005002 : NEW > 식자재 > 태국/베트남 식자재 > 소스류",베트남 식자재 소스류 태국,식자재,67200,정상,0
321,321,322,패커스,과세,0,130280,M&F 수리 팟타이 소스 5L 4통 (박스 상품),1827,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
050007002 : 식자재 > 태국/베트남 식자재 > 소스류
026010005002 : NEW > 식자재 > 태국/베트남 식자재 > 소스류",베트남 식자재 소스류 태국,식자재,147000,정상,0
322,322,323,패커스,과세,0,15580,M&F 하이몬 월남쌈 소스 2L 1통,1826,사용안함,M&F,"050 : 식자재
026 : NEW
026010 : NEW > 식자재
050007 : 식자재 > 태국/베트남 식자재
050007002 : 식자재 > 태국/베트남 식자재 > 소스류
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005002 : NEW > 식자재 > 태국/베트남 식자재 > 소스류
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",베트남 식자재 소스류 태국,식자재,17300,정상,0
323,323,324,패커스,과세,0,84960,M&F 몬 코코넛 밀크 2900ml 6캔 (박스 상품),1825,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007008 : 식자재 > 태국/베트남 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005008 : NEW > 식자재 > 태국/베트남 식자재 > 캔류/병류",캔류 태국 식자재 병류 베트남,식자재,96900,정상,0
324,324,325,패커스,과세,0,220860,M&F 칠리페이스트 위드 소야빈 오일(똠얌) 3kg 6캔 1(박스 상품),1824,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007003 : 식자재 > 태국/베트남 식자재 > 페이스트
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005003 : NEW > 식자재 > 태국/베트남 식자재 > 페이스트",베트남 식자재 페이스트 태국,식자재,247400,정상,0
325,325,326,패커스,과세,0,62300,M&F 르네 홀 그레인 머스타드 5kg 2통 (박스 상품),1823,사용안함,M&F,"050 : 식자재
026 : NEW
026010 : NEW > 식자재",식자재,식자재,75400,정상,0
326,326,327,패커스,과세,1,67200,미소찬 마일드참치 1.88kg 6캔 (박스 상품),1820,사용안함,자체제작,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001007 : 식자재 > 한식 식자재 > 캔류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001007 : NEW > 식자재 > 한식 식자재 > 캔류
061 : vol.4 Catalogue
061022 : vol.4 Catalogue > 카달로그_2",식자재 한식 캔류,식자재,78300,정상,0
327,327,328,패커스,과세,0,34500,마쓰야 아까다시코우지 1kg 10팩 (박스 상품),1819,사용안함,수입,"050 : 식자재
050003 : 식자재 > 일식 식자재
050003001 : 식자재 > 일식 식자재 > 장류
026 : NEW
026010 : NEW > 식자재
026010003 : NEW > 식자재 > 일식 식자재
026010003001 : NEW > 식자재 > 일식 식자재 > 장류",식자재 일식 장류,식자재,39200,정상,0
328,328,329,패커스,과세,0,30500,마쓰야 코시코우지 1kg 10팩 (박스 상품),1818,사용안함,수입,"050 : 식자재
050003 : 식자재 > 일식 식자재
050003001 : 식자재 > 일식 식자재 > 장류
026 : NEW
026010 : NEW > 식자재
026010003 : NEW > 식자재 > 일식 식자재
026010003001 : NEW > 식자재 > 일식 식자재 > 장류",식자재 일식 장류,식자재,34700,정상,0
329,329,330,패커스,과세,0,30500,마쓰야 아와세미소 1kg 10팩 (박스 상품),1817,사용안함,수입,"050 : 식자재
050003 : 식자재 > 일식 식자재
050003001 : 식자재 > 일식 식자재 > 장류
026 : NEW
026010 : NEW > 식자재
026010003 : NEW > 식자재 > 일식 식자재
026010003001 : NEW > 식자재 > 일식 식자재 > 장류",식자재 일식 장류,식자재,34700,정상,0
330,330,331,패커스,과세,0,42000,코끼리표 고구마전분피(양장피) 400g 20개 (박스 상품),1816,사용안함,수입,"050 : 식자재
050002 : 식자재 > 중식 식자재
050002006 : 식자재 > 중식 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010002 : NEW > 식자재 > 중식 식자재
026010002006 : NEW > 식자재 > 중식 식자재 > 면류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",식자재 중식 면류,식자재,48500,정상,0
331,331,332,패커스,과세,0,39000,늘푸른 할라피뇨 3kg 6캔 (박스 상품),1815,사용안함,늘푸른,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001009 : 식자재 > 한식 식자재 > 단무지
050007 : 식자재 > 태국/베트남 식자재
050007008 : 식자재 > 태국/베트남 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001009 : NEW > 식자재 > 한식 식자재 > 단무지
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005008 : NEW > 식자재 > 태국/베트남 식자재 > 캔류/병류",단무지 캔류 태국 식자재 병류 베트남 한식,식자재,43200,정상,0
332,332,333,패커스,과세,0,50000,영미 고추맛기름 1.8L 8통 (박스 상품),1814,사용안함,영미산업,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001004 : 식자재 > 한식 식자재 > 식용유지
050002 : 식자재 > 중식 식자재
050002004 : 식자재 > 중식 식자재 > 식용유지
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001004 : NEW > 식자재 > 한식 식자재 > 식용유지
026010002 : NEW > 식자재 > 중식 식자재
026010002004 : NEW > 식자재 > 중식 식자재 > 식용유지",식자재 한식 식용유지 중식,식자재,56400,정상,0
333,333,334,패커스,과세,1,66600,평해 참맛기름 1.8L 12통 (박스 상품),1813,사용안함,화성,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001004 : 식자재 > 한식 식자재 > 식용유지
050002 : 식자재 > 중식 식자재
050002004 : 식자재 > 중식 식자재 > 식용유지
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001004 : NEW > 식자재 > 한식 식자재 > 식용유지
026010002 : NEW > 식자재 > 중식 식자재
026010002004 : NEW > 식자재 > 중식 식자재 > 식용유지",식자재 한식 식용유지 중식,식자재,74200,정상,0
334,334,335,패커스,과세,0,73000,다인푸드 들깨향기름 1.8L 10통 (박스 상품),1812,사용안함,다인푸드,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001004 : 식자재 > 한식 식자재 > 식용유지
050002 : 식자재 > 중식 식자재
050002004 : 식자재 > 중식 식자재 > 식용유지
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001004 : NEW > 식자재 > 한식 식자재 > 식용유지
026010002 : NEW > 식자재 > 중식 식자재
026010002004 : NEW > 식자재 > 중식 식자재 > 식용유지
061 : vol.4 Catalogue
061022 : vol.4 Catalogue > 카달로그_2",식자재 한식 식용유지 중식,식자재,84000,정상,0
335,335,336,패커스,과세,0,62000,다인푸드 고추맛기름 1.8L 10통 (박스 상품),1811,사용안함,다인푸드,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001004 : 식자재 > 한식 식자재 > 식용유지
050002 : 식자재 > 중식 식자재
050002004 : 식자재 > 중식 식자재 > 식용유지
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001004 : NEW > 식자재 > 한식 식자재 > 식용유지
026010002 : NEW > 식자재 > 중식 식자재
026010002004 : NEW > 식자재 > 중식 식자재 > 식용유지
061 : vol.4 Catalogue
061022 : vol.4 Catalogue > 카달로그_2",식자재 한식 식용유지 중식,식자재,74200,정상,0
336,336,338,패커스,과세,0,67000,이금기 프리미엄 굴소스 510g 12병 (박스 상품),1809,사용안함,수입,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001003 : 식자재 > 한식 식자재 > 소스류
050002 : 식자재 > 중식 식자재
050002003 : 식자재 > 중식 식자재 > 소스류",식자재 중식 한식 소스류,식자재,74300,정상,0
337,337,339,패커스,과세,0,27000,이금기 프리미엄 노추(노두유) 500ml 12병 (박스 상품),1808,사용안함,수입,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001004 : 식자재 > 한식 식자재 > 식용유지
050002 : 식자재 > 중식 식자재
050002004 : 식자재 > 중식 식자재 > 식용유지
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001004 : NEW > 식자재 > 한식 식자재 > 식용유지
026010002 : NEW > 식자재 > 중식 식자재
026010002004 : NEW > 식자재 > 중식 식자재 > 식용유지",식자재 한식 식용유지 중식,식자재,29400,정상,0
